"address","UK","latitude","longitude","Country"
"Walthamstow","UK","51.5901769","-0.0173437","United Kingdom"
"Whitstable","UK","51.361047","1.024256","United Kingdom"
"Windsor","UK","51.48034209999999","-0.6157136999999999","United Kingdom"
"Apsley","UK","51.7371864","-0.4700466999999999","United Kingdom"
"Bedford","UK","52.1386603","-0.4667687","United Kingdom"
"Billericay","UK","51.627903","0.418397","United Kingdom"
"Chelmsford","UK","51.7355868","0.4685497","United Kingdom"
"Colchester","UK","51.895927","0.8918740000000001","United Kingdom"
"Ely","UK","52.399539","0.262363","United Kingdom"
"Flitwick","UK","52.004605","-0.4979453","United Kingdom"
"Great Dunmow","UK","51.873148","0.35792","United Kingdom"
"Harpenden","UK","51.81845999999999","-0.358953","United Kingdom"
"Hatfield","UK","51.763366","-0.22309","United Kingdom"
"Hitchin","UK","51.94921","-0.283414","United Kingdom"
"Hockley","UK","51.60142039999999","0.6547012","United Kingdom"
"Lowestoft","UK","52.48113799999999","1.753449","United Kingdom"
"Luton","UK","51.8786707","-0.4200255","United Kingdom"
"Milton Keynes","UK","52.0406224","-0.7594171","United Kingdom"
"Norwich","UK","52.6292567","1.2978802","United Kingdom"
"Pitsea","UK","51.56491","0.505078","United Kingdom"
"Sandy","UK","52.128118","-0.286788","United Kingdom"
"Soham","UK","52.335212","0.3375079","United Kingdom"
"St Ives","UK","50.20838579999999","-5.490886400000001","United Kingdom"
"Wickford","UK","51.611309","0.52068","United Kingdom"
"Birmingham","UK","52.4822694","-1.8900078","United Kingdom"
"Blythe Bridge","UK","52.969189","-2.072085","United Kingdom"
"Buckingham","UK","51.999326","-0.987645","United Kingdom"
"Horncastle","UK","53.2079191","-0.1146207","United Kingdom"
"Kitts Green","UK","52.4728028","-1.7597182","United Kingdom"
"Matlock","UK","53.1406864","-1.5466231","United Kingdom"
"Northampton","UK","52.23706499999999","-0.8944420999999999","United Kingdom"
"Nottingham","UK","52.9540223","-1.1549892","United Kingdom"
"Rushden","UK","52.289125","-0.600363","United Kingdom"
"Selly Oak","UK","52.4408809","-1.9385408","United Kingdom"
"Telford","UK","52.6762554","-2.4826625","United Kingdom"
"Ward End","UK","52.4958056","-1.8256938","United Kingdom"
"Bedminster","UK","51.43971699999999","-2.6008973","United Kingdom"
"Bishopston","UK","51.57565109999999","-4.0496446","United Kingdom"
"Bristol","UK","51.454513","-2.58791","United Kingdom"
"Brislington","UK","51.4396281","-2.5466573","United Kingdom"
"Cheltenham","UK","51.8964264","-2.0743111","United Kingdom"
"Clevedon","UK","51.4284337","-2.8280061","United Kingdom"
"Hengrove","UK","51.4174327","-2.5704319","United Kingdom"
"Okehampton","UK","50.738308","-4.004263","United Kingdom"
"Paignton","UK","50.43508","-3.564235","United Kingdom"
"Totnes","UK","50.4334931","-3.6851061","United Kingdom"
"Trowbridge","UK","51.319664","-2.208853","United Kingdom"
"Westbury On Trym","UK","51.4923829","-2.619894","United Kingdom"
"Weston-super-Mare","UK","51.345606","-2.9612624","United Kingdom"
"Berwick","UK","55.770242","-2.005395","United Kingdom"
"Blaydon","UK","54.96122339999999","-1.7181963","United Kingdom"
"Dewsbury","UK","53.6899251","-1.6297096","United Kingdom"
"Fallowfield","UK","53.4425635","-2.218652","United Kingdom"
"Hemlington","UK","54.524276","-1.236302","United Kingdom"
"Horwich","UK","53.598398","-2.554762","United Kingdom"
"Horsforth","UK","53.842177","-1.636099","United Kingdom"
"Houghton Le Spring","UK","54.841016","-1.468691","United Kingdom"
"Hyde","UK","53.452977","-2.082786","United Kingdom"
"Leeds","UK","53.8007554","-1.5490774","United Kingdom"
"Moston","UK","53.516043","-2.1780497","United Kingdom"
"South Elmsall","UK","53.59673","-1.2831","United Kingdom"
"Stalybridge","UK","53.48380599999999","-2.0500759","United Kingdom"
"Wakefield","UK","53.6848162","-1.5038596","United Kingdom"
"Whitley Bay","UK","55.046389","-1.4512989","United Kingdom"
"York","UK","53.9614205","-1.0739108","United Kingdom"
"Aberdeen","UK","57.1498891","-2.0937528","United Kingdom"
"Cambuslang","UK","55.820982","-4.164891","United Kingdom"
"Clarkston","UK","55.784536","-4.275812","United Kingdom"
"Comely Bank","UK","55.9595162","-3.2186594","United Kingdom"
"Corstorphine","UK","55.9426971","-3.2806934","United Kingdom"
"Edinburgh","UK","55.953252","-3.188267","United Kingdom"
"Glasgow","UK","55.86167039999999","-4.2583345","United Kingdom"
"Huntly","UK","57.445936","-2.7878059","United Kingdom"
"Kirkintilloch","UK","55.9392401","-4.1561656","United Kingdom"
"Leith","UK","55.9754642","-3.1665302","United Kingdom"
"Newington","UK","51.352149","0.6667419","United Kingdom"
"Culverhouse","UK","51.4648821","-3.2713058","United Kingdom"
"Haverfordwest","UK","51.800475","-4.971318999999999","United Kingdom"
"Newport","UK","51.584151","-2.997664","United Kingdom"
"Pontardawe","UK","51.7202772","-3.853397","United Kingdom"
"Pyle","UK","51.528762","-3.69316","United Kingdom"
"Welshpool","UK","52.660348","-3.146407","United Kingdom"
